epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.844,1.14266,2.1823,2.76245,1.18328,0.68249,0.23817,0.21248,0.14631,0.68358,0.23825,0.21103,0.1226,1.05577,1.56739,1.16731,1.14122,0.00331909,0.00331909,0.00331909
2,367.358,1.02427,1.59008,1.27457,1.09342,0.48742,0.28627,0.24657,0.15867,0.48517,0.28713,0.24934,0.13498,1.10731,1.66048,1.23479,1.15198,0.00663925,0.00663925,0.00663925
3,544.391,1.13434,1.71349,1.2571,1.14067,0.18447,0.19177,0.12817,0.07081,0.18425,0.18562,0.12837,0.06336,1.3108,2.05563,2.60883,1.32893,0.00994621,0.00994621,0.00994621
4,734.596,1.20266,1.78508,1.28734,1.19268,0.48851,0.19819,0.18879,0.11381,0.51522,0.18487,0.1826,0.0894,1.25505,2.11544,1.46478,1.29533,0.0099406,0.0099406,0.0099406
5,907.313,1.1558,1.73107,1.17841,1.16302,0.51438,0.2379,0.26029,0.15699,0.51493,0.2345,0.25551,0.13589,1.13287,1.64985,1.41198,1.20013,0.0099208,0.0099208,0.0099208
6,1093.14,1.10963,1.62577,1.0924,1.14155,0.44712,0.27909,0.28979,0.18129,0.44801,0.27792,0.27642,0.1452,1.1093,1.57267,1.10545,1.19235,0.009901,0.009901,0.009901
7,1261.74,1.08914,1.58553,1.05777,1.13678,0.48014,0.21415,0.20717,0.12246,0.47414,0.20716,0.20297,0.1088,1.17259,1.71862,1.65839,1.22515,0.0098812,0.0098812,0.0098812
8,1433.24,1.05552,1.56594,1.01016,1.11178,0.54141,0.2753,0.32449,0.19821,0.54225,0.2714,0.31185,0.15764,1.08261,1.61155,1.28046,1.17929,0.0098614,0.0098614,0.0098614
9,1602.11,1.04373,1.53629,0.97958,1.10448,0.4757,0.3364,0.32571,0.21032,0.48974,0.33381,0.32044,0.17225,1.03168,1.46621,1.00271,1.14669,0.0098416,0.0098416,0.0098416
10,1771.54,1.02534,1.51342,0.95369,1.1002,0.52451,0.34545,0.35814,0.22775,0.57183,0.32742,0.34465,0.18897,1.02459,1.46592,0.94058,1.13423,0.0098218,0.0098218,0.0098218
11,1938.78,1.01994,1.47536,0.93968,1.0962,0.54525,0.33368,0.30452,0.18815,0.56814,0.30464,0.29603,0.15473,1.01546,1.43917,1.05379,1.13073,0.009802,0.009802,0.009802
